Connecting to host 10.45.1.7, port 5361
[  5] local 10.45.1.1 port 35414 connected to 10.45.1.7 port 5361
[  5] 258.00-259.00 sec  1.25 MBytes  10.5 Mbits/sec    0    751 KBytes       
[  5] 259.00-260.00 sec  0.00 Bytes  0.00 bits/sec    0    773 KBytes       
[  5] 260.00-261.00 sec  1.25 MBytes  10.5 Mbits/sec    7    632 KBytes       
[  5] 261.00-262.00 sec  0.00 Bytes  0.00 bits/sec    0    546 KBytes       
[  5] 262.00-263.00 sec  1.25 MBytes  10.5 Mbits/sec    0    576 KBytes       
[  5] 263.00-264.00 sec  0.00 Bytes  0.00 bits/sec    0    607 KBytes       
[  5] 264.00-265.00 sec  1.25 MBytes  10.5 Mbits/sec    0    632 KBytes       
[  5] 265.00-266.00 sec  1.25 MBytes  10.5 Mbits/sec    0    648 KBytes       
[  5] 266.00-267.00 sec  0.00 Bytes  0.00 bits/sec    0    656 KBytes       
[  5] 267.00-268.00 sec  1.25 MBytes  10.5 Mbits/sec    0    659 KBytes       
[  5] 268.00-269.00 sec  0.00 Bytes  0.00 bits/sec    0    660 KBytes       
[  5] 269.00-270.00 sec  1.25 MBytes  10.5 Mbits/sec    0    663 KBytes       
[  5] 270.00-271.00 sec  0.00 Bytes  0.00 bits/sec    0    670 KBytes       
[  5] 271.00-272.00 sec  1.25 MBytes  10.5 Mbits/sec    0    684 KBytes       
[  5] 272.00-273.00 sec  0.00 Bytes  0.00 bits/sec    0    711 KBytes       
[  5] 273.00-274.00 sec  1.25 MBytes  10.5 Mbits/sec    0    751 KBytes       
[  5] 274.00-275.00 sec  0.00 Bytes  0.00 bits/sec    0    806 KBytes       
[  5] 275.00-276.00 sec  1.25 MBytes  10.5 Mbits/sec    0    881 KBytes       
[  5] 276.00-277.00 sec  0.00 Bytes  0.00 bits/sec    2    690 KBytes       
[  5] 277.00-278.00 sec  1.25 MBytes  10.5 Mbits/sec    0    631 KBytes       
[  5] 278.00-279.00 sec  0.00 Bytes  0.00 bits/sec    0    693 KBytes       
[  5] 279.00-280.00 sec  1.25 MBytes  10.5 Mbits/sec    0    751 KBytes       
[  5] 280.00-281.00 sec  0.00 Bytes  0.00 bits/sec    2    781 KBytes       
[  5] 281.00-282.00 sec  0.00 Bytes  0.00 bits/sec    0    588 KBytes       
[  5] 282.00-283.00 sec  1.25 MBytes  10.5 Mbits/sec    0    576 KBytes       
[  5] 283.00-284.00 sec  1.25 MBytes  10.5 Mbits/sec    0    608 KBytes       
[  5] 284.00-285.00 sec  0.00 Bytes  0.00 bits/sec    5    441 KBytes       
